MES,DIA,PROGRAMA,DATA,STATUS,CAMINHO
MAR,3,NJUD_1002,03/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1002_03-03-2026.mp3
MAR,3,NJUD_1829,03/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1829_03-03-2026.mp3
MAR,3,NJUD_1830,03/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1830_03-03-2026.mp3
MAR,3,NJUD_1831,03/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1831_03-03-2026.mp3
MAR,4,NJUD_1003,04/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1003_04-03-2026.mp3
MAR,4,NJUD_1832,04/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1832_04-03-2026.mp3
MAR,4,NJUD_1833,04/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1833_04-03-2026.mp3
MAR,5,NJUD_1004,05/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1004_05-03-2026.mp3
MAR,5,NJUD_1834,05/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1834_05-03-2026.mp3
MAR,5,NJUD_1835,05/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1835_05-03-2026.mp3
MAR,6,NJUD_1005,06/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - MAR - 26\NJUD_1005_06-03-2026.mp3
MAR,6,NJUD_1836,06/03/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\03 - 03 - 26\NJUD_1836_06-03-2026.mp3
