[22:48:09] JORNAIS=619 (+0) | PROCESSED=296 (+2) | OUTPUT=0 (+0) | CABECA=148 CORPO=148 | audit=missing
[22:48:39] JORNAIS=619 (+0) | PROCESSED=298 (+2) | OUTPUT=0 (+0) | CABECA=149 CORPO=149 | audit=missing
[22:49:09] JORNAIS=619 (+0) | PROCESSED=300 (+2) | OUTPUT=0 (+0) | CABECA=150 CORPO=150 | audit=missing
[22:49:39] JORNAIS=619 (+0) | PROCESSED=302 (+2) | OUTPUT=0 (+0) | CABECA=151 CORPO=151 | audit=missing
[22:50:09] JORNAIS=619 (+0) | PROCESSED=304 (+2) | OUTPUT=0 (+0) | CABECA=152 CORPO=152 | audit=missing
[22:50:39] JORNAIS=619 (+0) | PROCESSED=306 (+2) | OUTPUT=0 (+0) | CABECA=153 CORPO=153 | audit=missing
[22:51:09] JORNAIS=619 (+0) | PROCESSED=308 (+2) | OUTPUT=0 (+0) | CABECA=154 CORPO=154 | audit=missing
[22:51:39] JORNAIS=619 (+0) | PROCESSED=310 (+2) | OUTPUT=0 (+0) | CABECA=155 CORPO=155 | audit=missing
[22:52:09] JORNAIS=619 (+0) | PROCESSED=312 (+2) | OUTPUT=0 (+0) | CABECA=156 CORPO=156 | audit=missing
[22:52:39] JORNAIS=619 (+0) | PROCESSED=316 (+4) | OUTPUT=0 (+0) | CABECA=158 CORPO=158 | audit=missing
[22:53:09] JORNAIS=619 (+0) | PROCESSED=316 (+0) | OUTPUT=0 (+0) | CABECA=158 CORPO=158 | audit=missing
[22:53:39] JORNAIS=619 (+0) | PROCESSED=319 (+3) | OUTPUT=0 (+0) | CABECA=160 CORPO=159 | audit=missing
[22:54:10] JORNAIS=619 (+0) | PROCESSED=320 (+1) | OUTPUT=0 (+0) | CABECA=160 CORPO=160 | audit=missing
[22:54:40] JORNAIS=619 (+0) | PROCESSED=322 (+2) | OUTPUT=0 (+0) | CABECA=161 CORPO=161 | audit=missing
[22:55:10] JORNAIS=619 (+0) | PROCESSED=325 (+3) | OUTPUT=0 (+0) | CABECA=163 CORPO=162 | audit=missing
[22:55:40] JORNAIS=619 (+0) | PROCESSED=328 (+3) | OUTPUT=0 (+0) | CABECA=164 CORPO=164 | audit=missing
[22:56:10] JORNAIS=619 (+0) | PROCESSED=330 (+2) | OUTPUT=0 (+0) | CABECA=165 CORPO=165 | audit=missing
[22:56:40] JORNAIS=619 (+0) | PROCESSED=332 (+2) | OUTPUT=0 (+0) | CABECA=166 CORPO=166 | audit=missing
[22:57:10] JORNAIS=619 (+0) | PROCESSED=336 (+4) | OUTPUT=0 (+0) | CABECA=168 CORPO=168 | audit=missing
[22:57:40] JORNAIS=619 (+0) | PROCESSED=338 (+2) | OUTPUT=0 (+0) | CABECA=169 CORPO=169 | audit=missing
[22:58:10] JORNAIS=619 (+0) | PROCESSED=340 (+2) | OUTPUT=0 (+0) | CABECA=170 CORPO=170 | audit=missing
[22:58:40] JORNAIS=619 (+0) | PROCESSED=344 (+4) | OUTPUT=0 (+0) | CABECA=172 CORPO=172 | audit=missing
[22:59:10] JORNAIS=619 (+0) | PROCESSED=346 (+2) | OUTPUT=0 (+0) | CABECA=173 CORPO=173 | audit=missing
[22:59:40] JORNAIS=619 (+0) | PROCESSED=350 (+4) | OUTPUT=0 (+0) | CABECA=175 CORPO=175 | audit=missing
[23:00:10] JORNAIS=619 (+0) | PROCESSED=353 (+3) | OUTPUT=0 (+0) | CABECA=177 CORPO=176 | audit=missing
[23:00:41] JORNAIS=619 (+0) | PROCESSED=356 (+3) | OUTPUT=0 (+0) | CABECA=178 CORPO=178 | audit=missing
[23:01:11] JORNAIS=619 (+0) | PROCESSED=358 (+2) | OUTPUT=0 (+0) | CABECA=179 CORPO=179 | audit=missing
[23:01:41] JORNAIS=619 (+0) | PROCESSED=362 (+4) | OUTPUT=0 (+0) | CABECA=181 CORPO=181 | audit=missing
[23:02:11] JORNAIS=619 (+0) | PROCESSED=364 (+2) | OUTPUT=0 (+0) | CABECA=182 CORPO=182 | audit=missing
[23:02:41] JORNAIS=619 (+0) | PROCESSED=367 (+3) | OUTPUT=0 (+0) | CABECA=184 CORPO=183 | audit=missing
[23:03:11] JORNAIS=619 (+0) | PROCESSED=370 (+3) | OUTPUT=0 (+0) | CABECA=185 CORPO=185 | audit=missing
[23:03:41] JORNAIS=619 (+0) | PROCESSED=374 (+4) | OUTPUT=0 (+0) | CABECA=187 CORPO=187 | audit=missing
[23:04:11] JORNAIS=619 (+0) | PROCESSED=376 (+2) | OUTPUT=0 (+0) | CABECA=188 CORPO=188 | audit=missing
[23:04:41] JORNAIS=619 (+0) | PROCESSED=380 (+4) | OUTPUT=0 (+0) | CABECA=190 CORPO=190 | audit=missing
[23:05:11] JORNAIS=619 (+0) | PROCESSED=382 (+2) | OUTPUT=0 (+0) | CABECA=191 CORPO=191 | audit=missing
[23:05:41] JORNAIS=619 (+0) | PROCESSED=386 (+4) | OUTPUT=0 (+0) | CABECA=193 CORPO=193 | audit=missing
[23:06:12] JORNAIS=619 (+0) | PROCESSED=390 (+4) | OUTPUT=0 (+0) | CABECA=195 CORPO=195 | audit=missing
[23:06:42] JORNAIS=619 (+0) | PROCESSED=394 (+4) | OUTPUT=0 (+0) | CABECA=197 CORPO=197 | audit=missing
[23:07:12] JORNAIS=619 (+0) | PROCESSED=396 (+2) | OUTPUT=0 (+0) | CABECA=198 CORPO=198 | audit=missing
[23:07:42] JORNAIS=619 (+0) | PROCESSED=398 (+2) | OUTPUT=0 (+0) | CABECA=199 CORPO=199 | audit=missing
[23:08:12] JORNAIS=619 (+0) | PROCESSED=402 (+4) | OUTPUT=0 (+0) | CABECA=201 CORPO=201 | audit=missing
[23:08:42] JORNAIS=619 (+0) | PROCESSED=406 (+4) | OUTPUT=0 (+0) | CABECA=203 CORPO=203 | audit=missing
[23:09:12] JORNAIS=619 (+0) | PROCESSED=408 (+2) | OUTPUT=0 (+0) | CABECA=204 CORPO=204 | audit=missing
[23:09:42] JORNAIS=619 (+0) | PROCESSED=412 (+4) | OUTPUT=0 (+0) | CABECA=206 CORPO=206 | audit=missing
[23:10:12] JORNAIS=619 (+0) | PROCESSED=414 (+2) | OUTPUT=0 (+0) | CABECA=207 CORPO=207 | audit=missing
