arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db
BOLETIM_RADIO_TJRN_08_04_2026_B10_TJRN_SEMANA_NACIONAL_SAUDE_CORPO.mp3,CORPO,OK,26.56,e,estaduais.,,,-63.5,-120.0
BOLETIM_RADIO_TJRN_08_04_2026_B9_TJRN_ANULA_CONTRATO_OTICA__CORPO.mp3,CORPO,OK,69.66,Jogou,autora,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-22.2,-84.3
BOLETIM_RADIO_TJRN_09_04_2026_B1_TJRN_COBRANCA_INDEVIDA_BAGAGEM__CORPO.mp3,CORPO,OK,49.69,A,serviço,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-55.0
BOLETIM_RADIO_TJRN_09_04_2026_B2_TJRN_MANTEM_CONDENACAO_ACUSADOS_ROUBO_CORPO.mp3,CORPO,OK,54.88,contra,via...,,,-24.6,-20.9
BOLETIM_RADIO_TJRN_09_04_2026_B3_TJRN_TECNICO_PAGAMENTO_SERVICO__CORPO.mp3,CORPO,OK,48.53,"E,","unidades,","CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-120.0
BOLETIM_RADIO_TJRN_09_04_2026_B4_TJRN_SUPOSTO_DESVIO_FUNCAO_PM_CORPO.mp3,CORPO,OK,31.32,entre,estaduais,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-23.7,-55.3
BOLETIM_RADIO_TJRN_09_04_2026_B5_TJRN_MANTIDA_CONDENACAO_EMPRESA_AEREA__CORPO.mp3,CORPO,OK,36.56,quando,internacionais.,,,-120.0,-58.1
BOLETIM_RADIO_TJRN_09_04_2026_B6_TJRN_CAMARA_SESSAO_EXTRAORDINARIA_HIBRIDA__CORPO.mp3,CORPO,OK,23.8,Presidente,mesa.,,,-54.5,-120.0
BOLETIM_RADIO_TJRN_09_04_2026_B10_TRERN_AUTOATENDIMENTO_ELEITORAL_BIOMETRIA__CORPO.mp3,CORPO,OK,47.01,O,TRE.,,,-42.9,-84.3
BOLETIM_RADIO_TJRN_09_04_2026_B7_TJRN_SEMANA_NACIONAL_REGISTRO_CIVIL_CORPO.mp3,CORPO,OK,37.59,promovida,expectativa,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-31.5
BOLETIM_RADIO_TJRN_09_04_2026_B8_TRTRN_NOVA_SALA_ESPERA_AUDIENCIA__CORPO.mp3,CORPO,OK,31.25,A,TRTRN,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-27.5,-21.0
BOLETIM_RADIO_TJRN_09_04_2026_B9_TRERN_CAMPANHA_ARRECADACOES_LIVROS_INFANTIS__CORPO.mp3,CORPO,OK,47.65,Neste,capital.,,,-22.4,-120.0
BOLETIM_RADIO_TJRN_10_04_2026_B1_TJRN_DECISAO_REALIZACAO_PERICIA_ASSINATURA__CORPO.mp3,CORPO,OK,48.95,A,imóvel.,,,-26.2,-36.8
BOLETIM_RADIO_TJRN_10_04_2026_B2_TJRN_SUPERLOTACAO_CARCERARIA_PROGRESSAO_REGIME__CORPO.mp3,CORPO,OK,67.26,A,boa...,,,-23.1,-30.7
BOLETIM_RADIO_TJRN_10_04_2026_B3_TJRN_COSERN_CANCELAR_DEBITO_FRAUDE__CORPO.mp3,CORPO,OK,54.59,Ante,.400.,,,-24.9,-76.3
BOLETIM_RADIO_TJRN_10_04_2026_B4_TJRN_CLIENTE_SOFRE_GOLPE_EMPRESTIMO_CONSIGNADO__CORPO.mp3,CORPO,OK,69.9,A,refinanciamento.,,,-22.7,-90.3
BOLETIM_RADIO_TJRN_10_04_2026_B5_TJRN_RECONHECE_DIREITO_CORRETOR__CORPO.mp3,CORPO,OK,54.8,O,de...,,,-57.6,-22.8
BOLETIM_RADIO_TJRN_10_04_2026_B6_TJRN_PLANO_SAUDE_COBRANCA_EXCESSIVA__CORPO.mp3,CORPO,OK,40.91,especialmente,cenário...,,,-27.0,-24.3
