arquivo,data,num_projetado,status
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B4_TJRN_PLANO_SAUDE_INTERFERE_TRATAMENTO_NJUD_1926_CABECA.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_06_2026_B4_TJRN_PLANO_SAUDE_INTERFERE_TRATAMENTO_NJUD_1926_CORPO.mp3,26/06/2026,1900,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1792\BOLETIM_RADIO_TJRN_07_01_2026_B1_SELECAO_CARTORIOS_PAU_DOS_FERROS_CABECA.mp3,07/01/2026,1784,conflito_njud_existe
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1792\BOLETIM_RADIO_TJRN_07_01_2026_B1_SELECAO_CARTORIOS_PAU_DOS_FERROS_CORPO.mp3,07/01/2026,1784,conflito_njud_existe
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1792\BOLETIM_RADIO_TJRN_07_01_2026_B2_INDENIZACAO_FALHA_AIRBAGS_CABECA.mp3,07/01/2026,1784,conflito_njud_existe
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1792\BOLETIM_RADIO_TJRN_07_01_2026_B2_INDENIZACAO_FALHA_AIRBAGS_CORPO.mp3,07/01/2026,1784,conflito_njud_existe
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1792\BOLETIM_RADIO_TJRN_07_01_2026_B3_JURI_POPULAR_GRUPO_DE_EXTERMINIO_CABECA.mp3,07/01/2026,1784,conflito_njud_existe
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1792\BOLETIM_RADIO_TJRN_07_01_2026_B3_JURI_POPULAR_GRUPO_DE_EXTERMINIO_CORPO.mp3,07/01/2026,1784,conflito_njud_existe
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1792\BOLETIM_RADIO_TJRN_07_01_2026_B4_FALHA_DE_ENTREGA_LOJA_ONLINE_CABECA.mp3,07/01/2026,1784,conflito_njud_existe
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1792\BOLETIM_RADIO_TJRN_07_01_2026_B4_FALHA_DE_ENTREGA_LOJA_ONLINE_CORPO.mp3,07/01/2026,1784,conflito_njud_existe
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1793\BOLETIM_RADIO_TJRN_07_01_2026_B5_VENDA_CASADA_OTICA_CABECA.mp3,07/01/2026,1784,conflito_njud_existe
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1793\BOLETIM_RADIO_TJRN_07_01_2026_B5_VENDA_CASADA_OTICA_CORPO.mp3,07/01/2026,1784,conflito_njud_existe
